h_date;h_MWh;d_date;d_MWh;M_date;M_MWh;Y_date;Y_MWh
;;;;;;2015;0.40
;;;;;;2016;2.00
;;;;;;2017;2.00
;;;;;;2018;4.00
;;;;;;2019;6.00
;;;;;;2020;7.00
;;;;;;2021;10.00
;;;;;;2014;0.00
;;;;;;2015;0.30
;;;;;;2016;1.00
;;;;;;2017;1.00
;;;;;;2018;3.00
;;;;;;2019;5.00
;;;;;;2020;5.00
;;;;;;2021;6.00
