h_date;h_%;d_date;d_%;M_date;M_%;Y_date;Y_%
;;;;;;2010;38.90
;;;;;;2012;35.30
;;;;;;2013;36.20
;;;;;;2014;54.30
;;;;;;2015;42.30
;;;;;;2016;44.40
;;;;;;2017;40.90
;;;;;;2018;32.40
;;;;;;2019;42.00
;;;;;;2021;59.80
;;;;;;2022;38.10
;;;;;;2009;37.90
;;;;;;2010;44.60
;;;;;;2012;45.50
;;;;;;2013;45.40
;;;;;;2014;54.50
;;;;;;2015;44.60
;;;;;;2016;48.00
;;;;;;2017;41.30
;;;;;;2018;32.70
;;;;;;2019;43.60
;;;;;;2021;56.70
;;;;;;2022;42.90
