h_date;h_%;d_date;d_%;M_date;M_%;Y_date;Y_%
;;;;;;2011;47.80
;;;;;;2015;39.20
;;;;;;2019;36.10
;;;;;;2007;51.30
;;;;;;2011;50.60
;;;;;;2015;43.90
;;;;;;2019;37.60
