h_date;h_Mio.Fr.;d_date;d_Mio.Fr.;M_date;M_Mio.Fr.;Y_date;Y_Mio.Fr.
;;;;;;2005;13.80
;;;;;;2007;13.90
;;;;;;2009;14.50
;;;;;;2011;14.80
;;;;;;2013;15.20
;;;;;;2015;15.30
;;;;;;2017;15.30
;;;;;;2019;15.20
