h_date;h_Mio.Fr.;d_date;d_Mio.Fr.;M_date;M_Mio.Fr.;Y_date;Y_Mio.Fr.
;;;;;;2011;260.00
;;;;;;2012;268.80
;;;;;;2013;253.20
;;;;;;2014;251.30
;;;;;;2015;242.20
;;;;;;2016;240.30
;;;;;;2017;236.00
;;;;;;2018;227.40
;;;;;;2019;232.80
;;;;;;2020;227.30
;;;;;;2021;229.40
;;;;;;2010;25.10
;;;;;;2011;25.10
;;;;;;2012;26.20
;;;;;;2013;20.40
;;;;;;2014;16.60
;;;;;;2015;15.20
;;;;;;2016;15.10
;;;;;;2017;15.10
;;;;;;2018;15.30
;;;;;;2019;16.90
;;;;;;2020;14.50
;;;;;;2021;15.60
