h_date;h_Mio.Fr.;d_date;d_Mio.Fr.;M_date;M_Mio.Fr.;Y_date;Y_Mio.Fr.
;;;;;;2000;205840.00
;;;;;;2009;229888.00
;;;;;;2010;232488.00
;;;;;;2011;235801.00
;;;;;;2012;238537.00
;;;;;;2013;242841.00
;;;;;;2014;246061.00
;;;;;;2015;248854.00
;;;;;;2016;252538.00
;;;;;;2017;254955.00
;;;;;;2018;257740.00
;;;;;;2019;261328.00
;;;;;;2020;264266.00
;;;;;;2021;267407.00
;;;;;;1990;35987.00
;;;;;;2000;38420.00
;;;;;;2009;40588.00
;;;;;;2010;40738.00
;;;;;;2011;41302.00
;;;;;;2012;41278.00
;;;;;;2013;42049.00
;;;;;;2014;42398.00
;;;;;;2015;42628.00
;;;;;;2016;43113.00
;;;;;;2017;43124.00
;;;;;;2018;43309.00
;;;;;;2019;43835.00
;;;;;;2020;44313.00
;;;;;;2021;44800.00
