h_date;h_Pers.;d_date;d_Pers.;M_date;M_Pers.;Y_date;Y_Pers.
;;;;;;1982;13.10
;;;;;;1983;13.20
;;;;;;1984;13.20
;;;;;;1985;13.30
;;;;;;1986;13.50
;;;;;;1987;13.80
;;;;;;1988;14.20
;;;;;;1989;14.60
;;;;;;1990;15.40
;;;;;;1991;16.20
;;;;;;1992;17.00
;;;;;;1993;17.70
;;;;;;1994;18.30
;;;;;;1995;18.60
;;;;;;1996;18.80
;;;;;;1997;18.90
;;;;;;1998;19.10
;;;;;;1999;19.40
;;;;;;2000;19.60
;;;;;;2001;19.80
;;;;;;2002;20.00
;;;;;;2003;20.30
;;;;;;2004;20.40
;;;;;;2005;20.40
;;;;;;2006;20.50
;;;;;;2007;20.90
;;;;;;2008;21.50
;;;;;;2009;21.70
;;;;;;2010;21.80
;;;;;;2011;22.10
;;;;;;2012;22.50
;;;;;;2013;22.90
;;;;;;2014;23.30
;;;;;;2015;23.50
;;;;;;2016;23.80
;;;;;;2017;24.00
;;;;;;2018;24.10
;;;;;;2019;24.40
;;;;;;2020;24.70
;;;;;;2021;24.90
;;;;;;1981;16.60
;;;;;;1982;16.90
;;;;;;1983;17.20
;;;;;;1984;17.30
;;;;;;1985;17.70
;;;;;;1986;18.10
;;;;;;1987;18.60
;;;;;;1988;19.30
;;;;;;1989;20.00
;;;;;;1990;20.90
;;;;;;1991;22.70
;;;;;;1992;23.60
;;;;;;1993;24.40
;;;;;;1994;25.10
;;;;;;1995;25.30
;;;;;;1996;25.60
;;;;;;1997;25.80
;;;;;;1998;26.50
;;;;;;1999;26.70
;;;;;;2000;26.90
;;;;;;2001;27.20
;;;;;;2002;27.30
;;;;;;2003;27.50
;;;;;;2004;27.50
;;;;;;2005;27.20
;;;;;;2006;27.00
;;;;;;2007;27.50
;;;;;;2008;28.10
;;;;;;2009;28.20
;;;;;;2010;28.20
;;;;;;2011;28.70
;;;;;;2012;29.00
;;;;;;2013;29.40
;;;;;;2014;30.00
;;;;;;2015;30.40
;;;;;;2016;30.60
;;;;;;2017;30.90
;;;;;;2018;31.10
;;;;;;2019;31.50
;;;;;;2020;31.80
;;;;;;2021;31.80
