h_date;h_MWh;d_date;d_MWh;M_date;M_MWh;Y_date;Y_MWh
;;;;;;2013;0.10
;;;;;;2014;0.00
;;;;;;2015;0.10
;;;;;;2016;0.10
;;;;;;2017;0.20
;;;;;;2018;0.40
;;;;;;2019;0.50
;;;;;;2020;0.10
;;;;;;2021;0.10
;;;;;;2012;0.10
;;;;;;2013;0.30
;;;;;;2014;0.10
;;;;;;2015;0.60
;;;;;;2016;0.30
;;;;;;2017;0.70
;;;;;;2018;0.60
;;;;;;2019;0.80
;;;;;;2020;0.30
;;;;;;2021;0.20
