h_date;h_MWh;d_date;d_MWh;M_date;M_MWh;Y_date;Y_MWh
;;;;;;2014;41.30
;;;;;;2015;40.90
;;;;;;2016;40.60
;;;;;;2017;40.70
;;;;;;2018;40.60
;;;;;;2019;41.50
;;;;;;2013;39.50
;;;;;;2014;38.50
;;;;;;2015;38.60
;;;;;;2016;37.50
;;;;;;2017;37.40
;;;;;;2018;36.20
;;;;;;2019;36.50
