h_date;h_ha;d_date;d_ha;M_date;M_ha;Y_date;Y_ha
;;;;;;2008;48.40
;;;;;;2018;47.80
;;;;;;1997;30.90
;;;;;;2008;28.90
;;;;;;2018;27.70
