h_date;h_%;d_date;d_%;M_date;M_%;Y_date;Y_%
;;;;;;2008;2.20
;;;;;;2012;2.20
;;;;;;2016;1.70
;;;;;;2020;2.30
;;;;;;2004;3.60
;;;;;;2008;3.30
;;;;;;2012;3.40
;;;;;;2016;3.00
;;;;;;2020;3.10
