h_date;h_%;d_date;d_%;M_date;M_%;Y_date;Y_%
;;;;;;2012;43.70
;;;;;;2014;40.40
;;;;;;2015;37.90
;;;;;;2016;43.40
;;;;;;2018;35.80
;;;;;;2019;26.10
;;;;;;2021;49.10
;;;;;;2022;45.50
;;;;;;2009;45.00
;;;;;;2012;45.30
;;;;;;2014;48.00
;;;;;;2015;42.50
;;;;;;2016;45.10
;;;;;;2018;39.90
;;;;;;2019;31.60
;;;;;;2021;55.40
;;;;;;2022;51.30
