h_date;h_MWh;d_date;d_MWh;M_date;M_MWh;Y_date;Y_MWh
;;;;;;2018;14.00
;;;;;;2019;16.00
;;;;;;2020;16.00
;;;;;;2021;16.00
;;;;;;2017;15.00
;;;;;;2018;35.00
;;;;;;2019;21.00
;;;;;;2020;20.00
;;;;;;2021;16.00
