h_date;h_%;d_date;d_%;M_date;M_%;Y_date;Y_%
;;;;;;2010;53.70
;;;;;;2012;46.80
;;;;;;2013;46.20
;;;;;;2014;43.80
;;;;;;2016;45.70
;;;;;;2017;47.10
;;;;;;2018;37.30
;;;;;;2020;59.40
;;;;;;2021;51.20
;;;;;;2022;51.50
;;;;;;2009;44.80
;;;;;;2010;53.40
;;;;;;2012;45.30
;;;;;;2013;45.50
;;;;;;2014;48.00
;;;;;;2016;45.10
;;;;;;2017;49.20
;;;;;;2018;39.90
;;;;;;2020;58.60
;;;;;;2021;55.40
;;;;;;2022;51.30
