h_date;h_Pers.;d_date;d_Pers.;M_date;M_Pers.;Y_date;Y_Pers.
;;;;;;1983;69.70
;;;;;;1984;72.50
;;;;;;1985;69.70
;;;;;;1986;69.10
;;;;;;1987;73.20
;;;;;;1988;74.50
;;;;;;1989;73.80
;;;;;;1990;77.70
;;;;;;1991;71.70
;;;;;;1992;67.30
;;;;;;1993;61.20
;;;;;;1994;64.00
;;;;;;1995;59.40
;;;;;;1996;62.60
;;;;;;1997;58.30
;;;;;;1998;59.10
;;;;;;1999;63.60
;;;;;;2000;58.30
;;;;;;2001;57.60
;;;;;;2002;58.90
;;;;;;2003;56.50
;;;;;;2004;53.70
;;;;;;2005;56.00
;;;;;;2006;59.80
;;;;;;2007;57.70
;;;;;;2008;61.20
;;;;;;2009;62.50
;;;;;;2010;64.90
;;;;;;2011;65.50
;;;;;;2012;66.20
;;;;;;2013;62.60
;;;;;;2014;64.80
;;;;;;2015;62.60
;;;;;;2016;64.80
;;;;;;2017;60.60
;;;;;;2018;64.10
;;;;;;2019;61.50
;;;;;;2020;56.40
;;;;;;2021;60.60
