h_date;h_Pers.;d_date;d_Pers.;M_date;M_Pers.;Y_date;Y_Pers.
;;;;;;1985;26.70
;;;;;;1986;27.40
;;;;;;1987;26.70
;;;;;;1988;31.80
;;;;;;1989;30.00
;;;;;;1990;29.30
;;;;;;1991;30.10
;;;;;;1992;36.90
;;;;;;1993;35.00
;;;;;;1994;36.20
;;;;;;1995;35.50
;;;;;;1996;38.20
;;;;;;1997;41.60
;;;;;;1998;41.00
;;;;;;1999;51.40
;;;;;;2000;29.90
;;;;;;2001;38.20
;;;;;;2002;41.80
;;;;;;2003;44.90
;;;;;;2004;45.20
;;;;;;2005;51.00
;;;;;;2006;48.90
;;;;;;2007;44.10
;;;;;;2008;44.30
;;;;;;2009;37.40
;;;;;;2010;53.10
;;;;;;2011;38.80
;;;;;;2012;40.40
;;;;;;2013;39.40
;;;;;;2014;40.30
;;;;;;2015;39.10
;;;;;;2016;39.70
;;;;;;2017;37.40
;;;;;;2018;37.30
;;;;;;2019;40.30
;;;;;;2020;38.20
;;;;;;2021;37.90
