h_date;h_MWh;d_date;d_MWh;M_date;M_MWh;Y_date;Y_MWh
;;;;;;2017;3.00
;;;;;;2018;5.00
;;;;;;2019;5.00
;;;;;;2020;5.00
;;;;;;2021;6.00
;;;;;;2016;2.00
;;;;;;2017;2.00
;;;;;;2018;4.00
;;;;;;2019;3.00
;;;;;;2020;4.00
;;;;;;2021;4.00
