h_date;h_Anz.;d_date;d_Anz.;M_date;M_Anz.;Y_date;Y_Anz.
;;;;;;1996;100.00
;;;;;;1997;100.00
;;;;;;1998;100.00
;;;;;;1999;100.00
;;;;;;2000;100.00
;;;;;;2001;100.00
;;;;;;2002;100.00
;;;;;;2003;100.00
;;;;;;2004;100.00
;;;;;;2005;100.00
;;;;;;2006;100.00
;;;;;;2007;100.00
;;;;;;2008;100.00
;;;;;;2009;100.00
;;;;;;2010;100.00
;;;;;;2011;100.00
;;;;;;2012;100.00
;;;;;;2013;100.00
;;;;;;2014;100.00
;;;;;;2015;100.00
;;;;;;2016;100.00
;;;;;;2017;100.00
;;;;;;2018;100.00
;;;;;;2019;100.00
;;;;;;2020;100.00
;;;;;;2021;100.00
;;;;;;1995;100.00
;;;;;;1996;100.00
;;;;;;1997;100.00
;;;;;;1998;100.00
;;;;;;1999;100.00
;;;;;;2000;100.00
;;;;;;2001;100.00
;;;;;;2002;100.00
;;;;;;2003;100.00
;;;;;;2004;100.00
;;;;;;2005;100.00
;;;;;;2006;100.00
;;;;;;2007;100.00
;;;;;;2008;100.00
;;;;;;2009;100.00
;;;;;;2010;100.00
;;;;;;2011;100.00
;;;;;;2012;100.00
;;;;;;2013;100.00
;;;;;;2014;100.00
;;;;;;2015;100.00
;;;;;;2016;100.00
;;;;;;2017;100.00
;;;;;;2018;100.00
;;;;;;2019;100.00
;;;;;;2020;100.00
;;;;;;2021;100.00
;;;;;;1995;119.40
;;;;;;1996;119.50
;;;;;;1997;119.50
;;;;;;1998;121.90
;;;;;;1999;123.80
;;;;;;2000;125.50
;;;;;;2001;126.50
;;;;;;2002;122.80
;;;;;;2003;123.20
;;;;;;2004;121.40
;;;;;;2005;122.30
;;;;;;2006;127.30
;;;;;;2007;124.20
;;;;;;2008;122.20
;;;;;;2009;118.80
;;;;;;2010;119.10
;;;;;;2011;118.80
;;;;;;2012;118.90
;;;;;;2013;119.00
;;;;;;2014;118.00
;;;;;;2015;119.10
;;;;;;2016;119.60
;;;;;;2017;117.10
;;;;;;2018;112.20
;;;;;;2019;110.30
;;;;;;2020;110.00
;;;;;;2021;109.00
;;;;;;1995;119.40
;;;;;;1996;119.50
;;;;;;1997;119.50
;;;;;;1998;121.90
;;;;;;1999;123.80
;;;;;;2000;125.50
;;;;;;2001;126.50
;;;;;;2002;122.80
;;;;;;2003;123.20
;;;;;;2004;121.40
;;;;;;2005;122.30
;;;;;;2006;127.30
;;;;;;2007;124.20
;;;;;;2008;122.20
;;;;;;2009;118.80
;;;;;;2010;119.10
;;;;;;2011;118.80
;;;;;;2012;118.90
;;;;;;2013;119.00
;;;;;;2014;118.00
;;;;;;2015;119.10
;;;;;;2016;119.60
;;;;;;2017;117.10
;;;;;;2018;112.20
;;;;;;2019;110.30
;;;;;;2020;110.00
;;;;;;2021;109.00
