h_date;h_Pers.;d_date;d_Pers.;M_date;M_Pers.;Y_date;Y_Pers.
;;;;;;1992;9.70
;;;;;;1993;10.20
;;;;;;1994;10.60
;;;;;;1995;10.30
;;;;;;1996;9.90
;;;;;;1997;9.10
;;;;;;1998;8.30
;;;;;;1999;7.90
;;;;;;2000;6.90
;;;;;;2001;5.90
;;;;;;2002;5.20
;;;;;;2003;4.70
;;;;;;2004;4.10
;;;;;;2005;4.00
;;;;;;2006;4.00
;;;;;;2007;5.00
;;;;;;2008;5.90
;;;;;;2009;6.00
;;;;;;2010;6.60
;;;;;;2011;6.70
;;;;;;2012;7.00
;;;;;;2013;7.50
;;;;;;2014;8.10
;;;;;;2015;8.50
;;;;;;2016;8.80
;;;;;;2017;8.30
;;;;;;2018;7.80
;;;;;;2019;7.60
;;;;;;2020;7.40
;;;;;;2021;7.50
;;;;;;1991;-3.70
;;;;;;1992;-2.80
;;;;;;1993;-1.70
;;;;;;1994;-1.30
;;;;;;1995;-1.80
;;;;;;1996;-2.10
;;;;;;1997;-2.80
;;;;;;1998;-4.30
;;;;;;1999;-4.70
;;;;;;2000;-4.80
;;;;;;2001;-2.50
;;;;;;2002;-2.20
;;;;;;2003;-2.40
;;;;;;2004;-2.70
;;;;;;2005;-2.20
;;;;;;2006;-1.40
;;;;;;2007;0.70
;;;;;;2008;3.30
;;;;;;2009;4.10
;;;;;;2010;4.50
;;;;;;2011;5.20
;;;;;;2012;5.20
;;;;;;2013;5.60
;;;;;;2014;6.80
;;;;;;2015;7.40
;;;;;;2016;7.30
;;;;;;2017;6.20
;;;;;;2018;5.30
;;;;;;2019;4.70
;;;;;;2020;4.50
;;;;;;2021;3.80
