h_date;h_Pers.;d_date;d_Pers.;M_date;M_Pers.;Y_date;Y_Pers.
;;;;;;1998;228.00
;;;;;;1999;229.40
;;;;;;2000;230.30
;;;;;;2001;232.10
;;;;;;2002;233.30
;;;;;;2003;234.40
;;;;;;2004;235.20
;;;;;;2005;235.80
;;;;;;2006;236.70
;;;;;;2007;238.80
;;;;;;2008;241.50
;;;;;;2009;243.30
;;;;;;2010;245.50
;;;;;;2011;247.60
;;;;;;2012;249.60
;;;;;;2013;252.00
;;;;;;2014;254.10
;;;;;;2015;255.80
;;;;;;2016;257.60
;;;;;;2017;258.70
;;;;;;2018;260.20
;;;;;;2019;261.80
;;;;;;2020;263.70
;;;;;;2021;266.10
;;;;;;1997;1792.80
;;;;;;1998;1771.10
;;;;;;1999;1771.70
;;;;;;2000;1773.40
;;;;;;2001;1773.90
;;;;;;2002;1788.80
;;;;;;2003;1793.50
;;;;;;2004;1791.10
;;;;;;2005;1785.60
;;;;;;2006;1787.10
;;;;;;2007;1806.10
;;;;;;2008;1829.40
;;;;;;2009;1844.60
;;;;;;2010;1852.70
;;;;;;2011;1866.60
;;;;;;2012;1881.90
;;;;;;2013;1893.90
;;;;;;2014;1912.40
;;;;;;2015;1918.20
;;;;;;2016;1916.70
;;;;;;2017;1917.80
;;;;;;2018;1925.70
;;;;;;2019;1932.20
;;;;;;2020;1935.30
;;;;;;2021;1938.20
