h_date;h_%;d_date;d_%;M_date;M_%;Y_date;Y_%
;;;;;;2012;29.20
;;;;;;2013;52.10
;;;;;;2014;49.00
;;;;;;2016;44.00
;;;;;;2018;48.20
;;;;;;2020;45.50
;;;;;;2021;68.90
;;;;;;2009;53.50
;;;;;;2012;40.10
;;;;;;2013;51.30
;;;;;;2014;51.00
;;;;;;2016;47.10
;;;;;;2018;50.10
;;;;;;2020;51.70
;;;;;;2021;66.90
