h_date;h_Mio.Fr.;d_date;d_Mio.Fr.;M_date;M_Mio.Fr.;Y_date;Y_Mio.Fr.
;;;;;;1998;623.80
;;;;;;1999;681.30
;;;;;;2000;773.60
;;;;;;2001;752.60
;;;;;;2002;836.50
;;;;;;2003;694.20
;;;;;;2004;633.10
;;;;;;2005;631.90
;;;;;;2006;622.40
;;;;;;2007;719.80
;;;;;;2008;649.30
;;;;;;2009;617.10
;;;;;;2010;681.00
;;;;;;2011;640.90
;;;;;;2012;757.90
;;;;;;2013;696.40
;;;;;;2014;623.30
;;;;;;2015;583.50
;;;;;;2016;592.70
;;;;;;2017;702.40
;;;;;;2018;753.30
;;;;;;2019;774.20
;;;;;;2020;775.90
;;;;;;1997;493.90
;;;;;;1998;357.00
;;;;;;1999;316.80
;;;;;;2000;419.90
;;;;;;2001;554.30
;;;;;;2002;1223.20
;;;;;;2003;514.20
;;;;;;2004;715.70
;;;;;;2005;517.00
;;;;;;2006;364.60
;;;;;;2007;518.90
;;;;;;2008;691.70
;;;;;;2009;504.00
;;;;;;2010;382.90
;;;;;;2011;392.30
;;;;;;2012;508.30
;;;;;;2013;641.50
;;;;;;2014;776.30
;;;;;;2015;782.90
;;;;;;2016;759.10
;;;;;;2017;891.50
;;;;;;2018;917.50
;;;;;;2019;754.40
;;;;;;2020;851.80
