h_date;h_Anz.;d_date;d_Anz.;M_date;M_Anz.;Y_date;Y_Anz.
;;;;;;2003;5.80
;;;;;;2004;6.10
;;;;;;2005;6.80
;;;;;;2006;7.50
;;;;;;2007;8.70
;;;;;;2008;10.20
;;;;;;2009;10.70
;;;;;;2010;11.60
;;;;;;2011;13.10
;;;;;;2012;14.30
;;;;;;2013;15.50
;;;;;;2014;17.30
;;;;;;2015;19.40
;;;;;;2016;22.40
;;;;;;2017;23.30
;;;;;;2018;24.90
;;;;;;2019;27.20
;;;;;;2020;27.90
;;;;;;2021;28.60
;;;;;;2002;2.30
;;;;;;2003;2.80
;;;;;;2004;5.20
;;;;;;2005;6.10
;;;;;;2006;5.90
;;;;;;2007;5.40
;;;;;;2008;5.00
;;;;;;2009;6.50
;;;;;;2010;7.70
;;;;;;2011;8.70
;;;;;;2012;10.10
;;;;;;2013;9.60
;;;;;;2014;10.50
;;;;;;2015;14.00
;;;;;;2016;17.70
;;;;;;2017;18.10
;;;;;;2018;19.50
;;;;;;2019;22.30
;;;;;;2020;23.90
;;;;;;2021;24.60
