h_date;h_Mio.Fr.;d_date;d_Mio.Fr.;M_date;M_Mio.Fr.;Y_date;Y_Mio.Fr.
;;;;;;1998;5058.00
;;;;;;1999;5013.00
;;;;;;2000;4976.00
;;;;;;2001;4665.00
;;;;;;2002;3981.00
;;;;;;2003;3605.00
;;;;;;2004;3594.00
;;;;;;2005;3463.00
;;;;;;2006;3596.00
;;;;;;2007;3424.00
;;;;;;2008;3256.00
;;;;;;2009;3141.00
;;;;;;2010;3381.00
;;;;;;2011;3398.00
;;;;;;2012;3442.00
;;;;;;2013;3607.00
;;;;;;2014;3950.00
;;;;;;2015;4394.00
;;;;;;2016;4412.00
;;;;;;2017;4651.00
;;;;;;2018;5607.00
;;;;;;2019;5618.00
;;;;;;2020;6291.00
;;;;;;2021;5426.00
;;;;;;2022;4527.00
;;;;;;1997;483.00
;;;;;;1998;921.00
;;;;;;1999;815.00
;;;;;;2000;741.00
;;;;;;2001;690.00
;;;;;;2002;633.00
;;;;;;2003;597.00
;;;;;;2004;652.00
;;;;;;2005;601.00
;;;;;;2006;527.00
;;;;;;2007;554.00
;;;;;;2008;541.00
;;;;;;2009;659.00
;;;;;;2010;897.00
;;;;;;2011;763.00
;;;;;;2012;744.00
;;;;;;2013;653.00
;;;;;;2014;648.00
;;;;;;2015;829.00
;;;;;;2016;828.00
;;;;;;2017;767.00
;;;;;;2018;1002.00
;;;;;;2019;1067.00
;;;;;;2020;1325.00
;;;;;;2021;1204.00
;;;;;;2022;1162.00
