h_date;h_Pers.;d_date;d_Pers.;M_date;M_Pers.;Y_date;Y_Pers.
;;;;;;1988;806.00
;;;;;;1989;1057.00
;;;;;;1990;1129.00
;;;;;;1991;1180.00
;;;;;;1992;1226.00
;;;;;;1993;1384.00
;;;;;;1994;1441.00
;;;;;;1995;1468.00
;;;;;;1996;1498.00
;;;;;;1997;1482.00
;;;;;;1998;1500.00
;;;;;;1999;1470.00
;;;;;;2000;1491.00
;;;;;;2001;1541.00
;;;;;;2002;1629.00
;;;;;;2003;1769.00
;;;;;;2004;1757.00
;;;;;;2005;1748.00
;;;;;;2006;1777.00
;;;;;;2007;1773.00
;;;;;;2008;1860.00
;;;;;;2009;2021.00
;;;;;;2010;1907.00
;;;;;;2011;1824.00
;;;;;;2012;1952.00
;;;;;;2013;1974.00
;;;;;;2014;2075.00
;;;;;;2015;2118.00
;;;;;;2016;2142.00
;;;;;;2017;2183.00
;;;;;;2018;2262.00
;;;;;;2019;2294.00
;;;;;;2020;2355.00
;;;;;;2021;2301.00
;;;;;;1987;872.00
;;;;;;1988;876.00
;;;;;;1989;1209.00
;;;;;;1990;1262.00
;;;;;;1991;1360.00
;;;;;;1992;1433.00
;;;;;;1993;1641.00
;;;;;;1994;1716.00
;;;;;;1995;1694.00
;;;;;;1996;1758.00
;;;;;;1997;1724.00
;;;;;;1998;1785.00
;;;;;;1999;1753.00
;;;;;;2000;1777.00
;;;;;;2001;1828.00
;;;;;;2002;1833.00
;;;;;;2003;2108.00
;;;;;;2004;2026.00
;;;;;;2005;2032.00
;;;;;;2006;2054.00
;;;;;;2007;2054.00
;;;;;;2008;2141.00
;;;;;;2009;2329.00
;;;;;;2010;2177.00
;;;;;;2011;2077.00
;;;;;;2012;2226.00
;;;;;;2013;2225.00
;;;;;;2014;2346.00
;;;;;;2015;2380.00
;;;;;;2016;2406.00
;;;;;;2017;2432.00
;;;;;;2018;2399.00
;;;;;;2019;2418.00
;;;;;;2020;2428.00
;;;;;;2021;2395.00
