h_date;h_Anz.;d_date;d_Anz.;M_date;M_Anz.;Y_date;Y_Anz.
;;;;;;2005;12.80
;;;;;;2006;12.70
;;;;;;2007;12.40
;;;;;;2008;11.70
;;;;;;2009;11.40
;;;;;;2010;10.00
;;;;;;2011;9.90
;;;;;;2012;10.20
;;;;;;2013;10.50
;;;;;;2014;10.50
;;;;;;2015;10.50
;;;;;;2004;12.80
;;;;;;2005;12.80
;;;;;;2006;12.70
;;;;;;2007;12.40
;;;;;;2008;11.70
;;;;;;2009;11.40
;;;;;;2010;10.00
;;;;;;2011;9.90
;;;;;;2012;10.20
;;;;;;2013;10.50
;;;;;;2014;10.50
;;;;;;2015;10.50
;;;;;;2004;13.40
;;;;;;2005;13.40
;;;;;;2006;13.40
;;;;;;2007;13.10
;;;;;;2008;12.20
;;;;;;2009;12.10
;;;;;;2010;10.60
;;;;;;2011;10.30
;;;;;;2012;10.70
;;;;;;2013;11.10
;;;;;;2014;11.10
;;;;;;2015;11.10
;;;;;;2004;13.40
;;;;;;2005;13.40
;;;;;;2006;13.40
;;;;;;2007;13.10
;;;;;;2008;12.20
;;;;;;2009;12.10
;;;;;;2010;10.60
;;;;;;2011;10.30
;;;;;;2012;10.70
;;;;;;2013;11.10
;;;;;;2014;11.10
;;;;;;2015;11.10
