h_date;h_MWh;d_date;d_MWh;M_date;M_MWh;Y_date;Y_MWh
;;;;;;2012;1.10
;;;;;;2013;1.50
;;;;;;2014;1.80
;;;;;;2015;2.10
;;;;;;2016;2.20
;;;;;;2017;2.30
;;;;;;2018;2.50
;;;;;;2019;2.60
;;;;;;2020;2.70
;;;;;;2021;2.80
;;;;;;2011;0.60
;;;;;;2012;0.90
;;;;;;2013;1.30
;;;;;;2014;1.90
;;;;;;2015;1.90
;;;;;;2016;1.90
;;;;;;2017;2.10
;;;;;;2018;2.10
;;;;;;2019;2.20
;;;;;;2020;2.70
;;;;;;2021;2.80
