T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;43509182.0 Anz.
2014;44493306.0 Anz.
2015;37032347.0 Anz.
2016;38779129.0 Anz.
2017;39249349.0 Anz.
2018;33335203.0 Anz.
2019;34555383.0 Anz.
2020;53574872.0 Anz.
2021;41020018.0 Anz.
