T_h;Bezeichnung;Standort;Arbeitstag;Wochentag;Tag Nr;Kennzahl;TAG_Gesamtzahl_Passanten_dSSG
2020-02-15T13:00:00+01:00;Kantiweg Burggraben;47.425316681,9.37965724217;Wochenende;Samstag;6;Tagesverkehr;240
2020-02-15T18:00:00+01:00;Kantiweg Hst. Theater;47.4262552765,9.38066568909;Wochenende;Samstag;6;Tagesverkehr;79
2020-02-15T19:00:00+01:00;Kantiweg Burggraben;47.425316681,9.37965724217;Wochenende;Samstag;6;Tagesverkehr;54
2020-02-16T00:00:00+01:00;Kantiweg Hst. Theater;47.4262552765,9.38066568909;Wochenende;Sonntag;7;Tagesverkehr;20
2020-02-16T02:00:00+01:00;Kantiweg Burggraben;47.425316681,9.37965724217;Wochenende;Sonntag;7;Tagesverkehr;4
2020-02-16T10:00:00+01:00;Kantiweg Burggraben;47.425316681,9.37965724217;Wochenende;Sonntag;7;Tagesverkehr;46
2020-02-16T18:00:00+01:00;Kantiweg Burggraben;47.425316681,9.37965724217;Wochenende;Sonntag;7;Tagesverkehr;51
2020-02-16T19:00:00+01:00;Kantiweg Hst. Theater;47.4262552765,9.38066568909;Wochenende;Sonntag;7;Tagesverkehr;20
2020-02-16T23:00:00+01:00;Kantiweg Hst. Theater;47.4262552765,9.38066568909;Wochenende;Sonntag;7;Tagesverkehr;4
2020-02-17T00:00:00+01:00;Kantiweg Burggraben;47.425316681,9.37965724217;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";0
2020-02-17T01:00:00+01:00;Kantiweg Hst. Theater;47.4262552765,9.38066568909;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";0
2020-02-17T04:00:00+01:00;Kantiweg Hst. Theater;47.4262552765,9.38066568909;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";1
2020-02-17T06:00:00+01:00;Kantiweg Hst. Theater;47.4262552765,9.38066568909;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";40
2020-02-17T07:00:00+01:00;Kantiweg Hst. Theater;47.4262552765,9.38066568909;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";442
2020-02-17T07:00:00+01:00;Kantiweg Burggraben;47.425316681,9.37965724217;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";323
