T_h;Bezeichnung;Standort;Arbeitstag;Wochentag;Tag Nr;Kennzahl;TAG_Gesamtzahl_Passanten_dSSG
2018-06-26T06:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";115
2018-06-26T15:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";781
2018-06-26T20:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";127
2018-06-27T00:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";7
2018-06-27T01:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";8
2018-06-27T04:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";4
2018-06-27T06:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";105
2018-06-27T07:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";340
2018-06-27T11:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";812
2018-06-27T12:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";921
2018-06-27T13:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";808
2018-06-28T03:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";3
2018-06-28T13:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";696
2018-06-29T05:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";17
2018-06-29T16:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";730
2018-06-29T18:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";461
2018-06-29T21:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";75
2018-06-30T03:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Samstag;6;Tagesverkehr;11
2018-06-30T04:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Samstag;6;Tagesverkehr;10
2018-06-30T12:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Samstag;6;Tagesverkehr;998
2018-06-30T18:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Samstag;6;Tagesverkehr;132
2018-06-30T22:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Samstag;6;Tagesverkehr;126
2018-07-01T01:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;49
2018-07-01T04:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;20
2018-07-01T14:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;128
2018-07-01T16:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;105
2018-07-01T23:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;18
2018-07-02T00:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";19
2018-07-02T06:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";116
2018-07-02T21:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";198
2018-07-03T00:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";39
2018-07-03T08:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";557
2018-07-03T10:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";622
2018-07-03T16:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";1018
2018-07-03T17:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";947
2018-07-03T19:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";459
2018-07-04T03:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";6
2018-07-04T04:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";5
2018-07-04T05:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";57
2018-07-04T08:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";590
2018-07-04T11:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";1215
2018-07-04T14:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";1082
2018-07-04T15:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";1490
2018-07-04T17:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";1623
2018-07-05T01:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";27
2018-07-05T13:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";1137
