T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2006;16002797.0 Anz.
2007;21920863.0 Anz.
2008;32379145.0 Anz.
2009;22528143.0 Anz.
2010;23596767.0 Anz.
2011;15458580.0 Anz.
2012;-580391.0 Anz.
2013;-1161268.0 Anz.
2014;6031886.0 Anz.
2015;22706247.0 Anz.
2016;5779358.0 Anz.
2017;12096297.0 Anz.
2018;10901321.0 Anz.
2019;-27826798.0 Anz.
2020;5830476.0 Anz.
2021;1571708.0 Anz.
