T_Y;TAG_Kanton St.Gallen Wohnbevölkerung [Pers.]
2012;67034.0 Pers.
2013;68422.0 Pers.
2014;69699.0 Pers.
2015;70723.0 Pers.
2016;71667.0 Pers.
2017;72377.0 Pers.
2018;73318.0 Pers.
2019;74370.0 Pers.
2020;75518.0 Pers.
2021;76567.0 Pers.
2012;10821.0 Pers.
2013;10982.0 Pers.
2014;10976.0 Pers.
2015;10923.0 Pers.
2016;11124.0 Pers.
2017;11048.0 Pers.
2018;11013.0 Pers.
2019;11119.0 Pers.
2020;11249.0 Pers.
2021;11206.0 Pers.
