T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;0.0 Anz.
2014;0.0 Anz.
2015;0.0 Anz.
2016;1037743.0 Anz.
2017;0.0 Anz.
2018;0.0 Anz.
2019;0.0 Anz.
2020;0.0 Anz.
2021;0.0 Anz.
