T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2006;99.5 Anz.
2007;130.6 Anz.
2008;142.2 Anz.
2009;118.3 Anz.
2010;139.7 Anz.
2011;101.7 Anz.
2012;80.9 Anz.
2013;70.9 Anz.
2014;144.0 Anz.
2015;140.6 Anz.
2016;130.1 Anz.
2017;119.0 Anz.
2018;135.8 Anz.
2019;56.4 Anz.
2020;92.1 Anz.
2021;57.0 Anz.
