BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;575;Stromverbrauch Total [MWh/Energienutzer];2014;4.6;MWh/Energienutzer;Megawattstunden pro Energienutzer;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;575;Stromverbrauch Total [MWh/Energienutzer];2015;4.6;MWh/Energienutzer;Megawattstunden pro Energienutzer;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;575;Stromverbrauch Total [MWh/Energienutzer];2016;4.6;MWh/Energienutzer;Megawattstunden pro Energienutzer;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;575;Stromverbrauch Total [MWh/Energienutzer];2017;4.6;MWh/Energienutzer;Megawattstunden pro Energienutzer;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;575;Stromverbrauch Total [MWh/Energienutzer];2018;4.5;MWh/Energienutzer;Megawattstunden pro Energienutzer;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;575;Stromverbrauch Total [MWh/Energienutzer];2019;4.5;MWh/Energienutzer;Megawattstunden pro Energienutzer;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;576;Stromverbrauch Kleinverbraucher [MWh];2013;1432600;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;576;Stromverbrauch Kleinverbraucher [MWh];2014;1396749;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;576;Stromverbrauch Kleinverbraucher [MWh];2015;1390568;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;576;Stromverbrauch Kleinverbraucher [MWh];2016;1395641;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;576;Stromverbrauch Kleinverbraucher [MWh];2017;1396266;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;576;Stromverbrauch Kleinverbraucher [MWh];2018;1380064;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;576;Stromverbrauch Kleinverbraucher [MWh];2019;1412059;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;577;Stromverbrauch mittelgrosse Verbraucher [MWh];2014;247497;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;577;Stromverbrauch mittelgrosse Verbraucher [MWh];2015;308762;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;577;Stromverbrauch mittelgrosse Verbraucher [MWh];2016;304828;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;577;Stromverbrauch mittelgrosse Verbraucher [MWh];2017;288785;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;577;Stromverbrauch mittelgrosse Verbraucher [MWh];2018;277698;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;577;Stromverbrauch mittelgrosse Verbraucher [MWh];2019;260562;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;578;Stromverbrauch Grossverbraucher [MWh];2014;1735413;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;578;Stromverbrauch Grossverbraucher [MWh];2015;1700737;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;578;Stromverbrauch Grossverbraucher [MWh];2016;1739481;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;578;Stromverbrauch Grossverbraucher [MWh];2017;1746829;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;578;Stromverbrauch Grossverbraucher [MWh];2018;1739449;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;578;Stromverbrauch Grossverbraucher [MWh];2019;1724814;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;579;Stromverbrauch Kleinverbraucher [%];2013;41.9;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;579;Stromverbrauch Kleinverbraucher [%];2014;41.3;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;579;Stromverbrauch Kleinverbraucher [%];2015;40.9;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;579;Stromverbrauch Kleinverbraucher [%];2016;40.6;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;579;Stromverbrauch Kleinverbraucher [%];2017;40.7;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;579;Stromverbrauch Kleinverbraucher [%];2018;40.6;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;579;Stromverbrauch Kleinverbraucher [%];2019;41.5;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;580;Stromverbrauch mittelgrosse Verbraucher [%];2014;7.3;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;580;Stromverbrauch mittelgrosse Verbraucher [%];2015;9.1;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;580;Stromverbrauch mittelgrosse Verbraucher [%];2016;8.9;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;580;Stromverbrauch mittelgrosse Verbraucher [%];2017;8.4;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;580;Stromverbrauch mittelgrosse Verbraucher [%];2018;8.2;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;580;Stromverbrauch mittelgrosse Verbraucher [%];2019;7.7;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;581;Stromverbrauch Grossverbraucher [%];2014;51.3;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;581;Stromverbrauch Grossverbraucher [%];2015;50;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;581;Stromverbrauch Grossverbraucher [%];2016;50.6;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;581;Stromverbrauch Grossverbraucher [%];2017;50.9;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;581;Stromverbrauch Grossverbraucher [%];2018;51.2;%;Prozent;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;581;Stromverbrauch Grossverbraucher [%];2019;50.7;%;Prozent;
