T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;18530116.0 Anz.
2014;16934815.0 Anz.
2015;15794960.0 Anz.
2016;15629515.0 Anz.
2017;13344227.0 Anz.
2018;12441338.0 Anz.
2019;11340539.0 Anz.
2020;10665039.0 Anz.
2021;9895638.0 Anz.
