T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;244019241.0 Anz.
2014;256544370.0 Anz.
2015;259334047.0 Anz.
2016;267106587.0 Anz.
2017;274347324.0 Anz.
2018;270371816.0 Anz.
2019;270102002.0 Anz.
2020;272028093.0 Anz.
2021;269030990.0 Anz.
