T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;9880255.0 Anz.
2014;9081754.0 Anz.
2015;8312425.0 Anz.
2016;9558261.0 Anz.
2017;10432461.0 Anz.
2018;10208523.0 Anz.
2019;9915845.0 Anz.
2020;10036313.0 Anz.
2021;10965747.0 Anz.
