T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;48865633.0 Anz.
2014;39101737.0 Anz.
2015;39410796.0 Anz.
2016;40169875.0 Anz.
2017;46767502.0 Anz.
2018;48251757.0 Anz.
2019;76971329.0 Anz.
2020;59798406.0 Anz.
2021;51307621.0 Anz.
