T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;87889667.0 Anz.
2014;87110080.0 Anz.
2015;91065950.0 Anz.
2016;88047625.0 Anz.
2017;92951669.0 Anz.
2018;91836511.0 Anz.
2019;92748354.0 Anz.
2020;90621655.0 Anz.
2021;85002808.0 Anz.
