T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2006;16.6 Anz.
2007;13.9 Anz.
2008;13.8 Anz.
2009;13.5 Anz.
2010;10.3 Anz.
2011;12.9 Anz.
2012;11.8 Anz.
2013;12.0 Anz.
2014;12.0 Anz.
2015;10.1 Anz.
2016;10.5 Anz.
2017;10.2 Anz.
2018;9.8 Anz.
2019;11.6 Anz.
2020;9.2 Anz.
2021;11.4 Anz.
