T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;131367711.0 Anz.
2014;134162753.0 Anz.
2015;134975775.0 Anz.
2016;144852557.0 Anz.
2017;148807760.0 Anz.
2018;149722297.0 Anz.
2019;162056342.0 Anz.
2020;162707818.0 Anz.
2021;163711848.0 Anz.
