T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;243660603.0 Anz.
2014;241318476.0 Anz.
2015;246875345.0 Anz.
2016;248253491.0 Anz.
2017;255256604.0 Anz.
2018;252591318.0 Anz.
2019;260872368.0 Anz.
2020;265638254.0 Anz.
2021;265073247.0 Anz.
