T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2006;10.7 Anz.
2007;14.9 Anz.
2008;17.0 Anz.
2009;13.7 Anz.
2010;12.4 Anz.
2011;11.7 Anz.
2012;9.0 Anz.
2013;7.3 Anz.
2014;11.8 Anz.
2015;12.2 Anz.
2016;11.0 Anz.
2017;10.2 Anz.
2018;10.3 Anz.
2019;5.7 Anz.
2020;7.6 Anz.
2021;5.8 Anz.
