Titel;Datum;Verwaltungsebene;Typ;Resultat;Ja-Stimmen;Nein-Stimmen;URL;Status;Total der Gemeinden;Ausgezählte Gemeinden;Letzte Änderung;turnout
Kantonsratswahl 2016: Wahlkreis Wil;2016-02-28;district;election;;;;https://wab.sg.ch/election/kantonsratswahl-2016-wahlkreis-wil;abgeschlossen;10;10;2022-01-19T07:36:20+01:00;43.935304152540546
Erneuerungswahl der Mitglieder der Regierung (2. Wahlgang);2016-04-24;canton;election;;;;https://wab.sg.ch/election/erneuerungswahl-der-mitglieder-der-regierung-2-wahlgang;abgeschlossen;77;77;2022-07-21T16:11:03+02:00;33.69959144436434
Volksinitiative «Pro Service public»;2016-06-05;federation;vote;rejected;34.73355857965147;65.26644142034853;https://wab.sg.ch/vote/volksinitiative-pro-service-public;abgeschlossen;78;78;2022-01-19T07:36:22+01:00;44.089676256173085
Volksinitiative «Millionen-Erbschaften besteuern für unsere AHV (Erbschaftssteuerreform)»;2015-06-14;federation;vote;rejected;27.994087963930607;72.00591203606939;https://wab.sg.ch/vote/volksinitiative-millionen-erbschaften-besteuern-fuer-unsere-ahv-erbschaftssteuerreform;abgeschlossen;78;78;2022-01-19T07:36:22+01:00;42.484791719883816
"Gesetzesinitiative ""Zukunft dank gerechter Vermögenssteuern (Steuergerechtigkeitsinitiative)""";2015-06-14;canton;vote;rejected;27.629256292083674;72.37074370791632;https://wab.sg.ch/vote/gesetzesinitiative-zukunft-dank-gerechter-vermoegenssteuern-steuergerechtigkeitsinitiative;abgeschlossen;77;77;2022-01-19T07:36:21+01:00;40.81664817227127
Erneuerungswahl der st.gallischen Mitglieder des Ständerates (2. Wahlgang);2015-11-15;canton;election;;;;https://wab.sg.ch/election/erneuerungswahl-der-st-gallischen-mitglieder-des-staenderates-2015-2-wahlgang;abgeschlossen;77;77;2022-07-22T11:57:24+02:00;39.23190812187469
Kantonsratswahl 2012: Wahlkreis Sarganserland;2012-03-11;district;election;;;;https://wab.sg.ch/election/kantonsratswahl-2012-wahlkreis-sarganserland;abgeschlossen;8;8;2022-01-19T07:36:20+01:00;37.47552643145403
Kantonsratswahl 2012: Wahlkreis St.Gallen;2012-03-11;district;election;;;;https://wab.sg.ch/election/kantonsratswahl-2012-wahlkreis-st-gallen;abgeschlossen;9;9;2022-01-19T07:36:20+01:00;37.87967289719626
Erneuerungswahl der Mitglieder der Regierung (2. Wahlgang);2012-04-29;canton;election;;;;https://wab.sg.ch/election/erneuerungswahl-der-mitglieder-der-regierung-2-wahlgang-1;abgeschlossen;85;85;2022-07-22T12:36:09+02:00;31.574951071197138
Bundesbeschluss über die Jugendmusikförderung;2012-09-23;federation;vote;accepted;67.33952876060783;32.660471239392166;https://wab.sg.ch/vote/bundesbeschluss-vom-15-maerz-2012-ueber-die-jugendmusikfoerderung-gegenentwurf-zur-volksinitiative-jugend-musik;abgeschlossen;86;86;2022-01-19T07:36:22+01:00;45.871158437711465
Erneuerungswahl Gerichtskreis Alttoggenburg-Wil: 14 Richter/innen;2003-02-09;none;election;;;;https://wab.sg.ch/election/erneuerungswahl-gerichtskreis-alttoggenburg-wil-14-richter-innen;abgeschlossen;10;10;2022-01-19T07:36:18+01:00;0.0
