Datum;Bezeichnung;Standort;Arbeitstag;Wochentag;Tag Nr;Kennzahl;Anzahl Velos
2014-12-03;Sitterviadukt A1 / Gaiserwaldweg;47.42203,9.34464;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";57
2014-12-03;Splügenweg / Olma;47.433074,9.38514;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";125
2014-12-03;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";256
2014-12-03;Vadianstrasse 8;47.422903,9.372979;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";539
2014-12-04;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";334
2014-12-04;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";269
2014-12-04;Vadianstrasse 8;47.422903,9.372979;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";659
2014-12-06;Museumstrasse;47.427214,9.379645;Wochenende;Samstag;6;Tagesverkehr;121
2014-12-07;Museumstrasse;47.427214,9.379645;Wochenende;Sonntag;7;Tagesverkehr;66
2014-12-07;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Sonntag;7;Tagesverkehr;84
2014-12-09;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";341
2014-12-09;Sitterviadukt A1 / Gaiserwaldweg;47.42203,9.34464;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";52
2014-12-11;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";228
2014-12-14;Sitterviadukt A1 / Gaiserwaldweg;47.42203,9.34464;Wochenende;Sonntag;7;Tagesverkehr;42
2014-12-15;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";270
2014-12-16;Sitterviadukt A1 / Gaiserwaldweg;47.42203,9.34464;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";41
2014-12-16;Splügenweg / Olma;47.433074,9.38514;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";142
2014-12-16;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";247
2014-12-16;Vadianstrasse 8;47.422903,9.372979;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";544
2014-12-19;Oberstrasse 149;47.414179,9.356962;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";379
2014-12-19;Sitterviadukt A1 / Gaiserwaldweg;47.42203,9.34464;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";81
2014-12-20;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Samstag;6;Tagesverkehr;170
2014-12-20;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Wochenende;Samstag;6;Tagesverkehr;190
2014-12-20;Vadianstrasse 8;47.422903,9.372979;Wochenende;Samstag;6;Tagesverkehr;405
2014-12-21;Museumstrasse;47.427214,9.379645;Wochenende;Sonntag;7;Tagesverkehr;100
2014-12-21;Oberstrasse 149;47.414179,9.356962;Wochenende;Sonntag;7;Tagesverkehr;139
2014-12-21;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Sonntag;7;Tagesverkehr;143
2014-12-22;Vadianstrasse 8;47.422903,9.372979;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";690
2014-12-23;Oberstrasse 149;47.414179,9.356962;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";356
2014-12-24;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";178
2014-12-24;Splügenweg / Olma;47.433074,9.38514;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";103
2014-12-25;Sitterviadukt A1 / Gaiserwaldweg;47.42203,9.34464;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";6
2014-12-26;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";51
2014-12-27;Oberstrasse 149;47.414179,9.356962;Wochenende;Samstag;6;Tagesverkehr;41
2014-12-28;Museumstrasse;47.427214,9.379645;Wochenende;Sonntag;7;Tagesverkehr;6
2014-12-28;Oberstrasse 149;47.414179,9.356962;Wochenende;Sonntag;7;Tagesverkehr;21
2014-12-28;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Sonntag;7;Tagesverkehr;31
2014-12-29;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";37
2014-12-30;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";27
2014-12-31;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";14
2014-12-31;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";34
2014-12-31;Vadianstrasse 8;47.422903,9.372979;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";147
2012-01-01;Museumstrasse;47.427214,9.379645;Wochenende;Sonntag;7;Tagesverkehr;51
2012-01-02;Museumstrasse;47.427214,9.379645;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";69
2012-01-02;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";91
2012-01-03;Oberstrasse 149;47.414179,9.356962;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";301
2012-01-04;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";103
2012-01-05;Museumstrasse;47.427214,9.379645;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";85
2012-01-06;Museumstrasse;47.427214,9.379645;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";55
2012-01-06;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";86
2012-01-07;Oberstrasse 149;47.414179,9.356962;Wochenende;Samstag;6;Tagesverkehr;67
2012-01-07;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Samstag;6;Tagesverkehr;51
2012-01-07;Vadianstrasse 8;47.422903,9.372979;Wochenende;Samstag;6;Tagesverkehr;291
