BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2002;4801;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2003;4823.7;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2004;4908.4;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2005;5136.4;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2006;5019.7;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2007;5695.4;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2008;5712.2;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2009;5262.5;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2010;5603.3;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2011;5710.6;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2012;5953.8;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2013;5658.5;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2014;5224.3;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2015;5282.8;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2016;5450.5;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2017;5416.5;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2018;5711.9;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2019;5863.1;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;77;Bauinvestitionen pro Kopf [Fr./Einw.];2020;6133.7;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];1997;4039.1;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];1998;3983.7;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];1999;3886.2;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];2000;4011.4;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];2001;4911.3;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];2002;3964.6;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];2003;4129.5;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];2004;4275.3;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];2005;4504.5;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];2006;4397.3;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];2007;4975.6;Fr./Einw.;Franken pro Einwohner/-in;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;78;Hochbau-Investitionen [Fr./Einw.];2008;5062.9;Fr./Einw.;Franken pro Einwohner/-in;
