BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1172;215 Fördernde Massnahmen (Bruttoaufwand) [Fr.];2018;12335679;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1172;215 Fördernde Massnahmen (Bruttoaufwand) [Fr.];2019;12453177;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1172;215 Fördernde Massnahmen (Bruttoaufwand) [Fr.];2020;12549908;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1172;215 Fördernde Massnahmen (Bruttoaufwand) [Fr.];2021;12464212;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2006;633918;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2007;629134;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2008;1777456;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2009;523414;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2010;596005;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2011;625030;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2012;1958919;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2013;602057;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2014;481865;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2015;1842392;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2016;543838;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2017;213197;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2018;249952;Fr.;Franken;
3203;Stadt St.Gallen;Gemeindefinanzen HRM1;Bruttoaufwand nach Funktionen;2 Bildung;1173;216 Schulanlässe, Freizeitgestaltung (Bruttoaufwand) [Fr.];2019;295738;Fr.;Franken;
