T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2006;582272227.0 Anz.
2007;593091412.0 Anz.
2008;611071378.0 Anz.
2009;609573804.0 Anz.
2010;607119062.0 Anz.
2011;630791292.0 Anz.
2012;634608048.0 Anz.
2013;641740175.0 Anz.
2014;645702142.0 Anz.
2015;666354012.0 Anz.
2016;667790892.0 Anz.
2017;683393699.0 Anz.
2018;674223096.0 Anz.
2019;687315762.0 Anz.
2020;701616087.0 Anz.
2021;687672926.0 Anz.
