T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;36422003.0 Anz.
2014;32092047.0 Anz.
2015;31679818.0 Anz.
2016;35500293.0 Anz.
2017;36573090.0 Anz.
2018;33721924.0 Anz.
2019;34103025.0 Anz.
2020;37915525.0 Anz.
2021;33275679.0 Anz.
