T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;140362417.0 Anz.
2014;136032867.0 Anz.
2015;143685104.0 Anz.
2016;143076691.0 Anz.
2017;142452625.0 Anz.
2018;140218616.0 Anz.
2019;144469917.0 Anz.
2020;130062408.0 Anz.
2021;132960135.0 Anz.
