Projektname;Direktion Abkürzung;Direktion Name;Dienststelle Abkürzung;Dienststelle Name;Objekt;Verfahren;Arbeitsgattung;Beschreibung zur Arbeitsgattung;T_d;Zuschlagsempfänger;TAG_Auftragsvolumen_exkl._MWST_dSSG;Bemerkung
Energetische Sanierung Kindergarten Achslenweg St.Gallen;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Kindergarten Achslenweg;Freihändig;BKP 214;Montagebau in Holz;2021-05-05;"Sutter AG Holzbau
Mingerstrasse 12
9014 St.Gallen";116483.1;
Primarschule Hebel-Bach, Neubau Tagesbetreuung an der Gotthelfstrasse;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Tagesbetreuung Hebel;Einladung;BKP 251;Sanitäre Installationen;2021-06-15;"Sanitär Klarer-Hörler AG
St.Gallen";164983.4;
Solarkraftwerk Zürcherstrasse 511;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Solarkraftwerk Zürcherstrasse 511;Offen;Installation u. Inbetriebnahme Solarkraftwerk;;2021-06-22;"Tritec AG
3270 Aarberg";223000.0;
Primarschule Hebel, Neubau Tagesbetreuung an der Gotthelfstrasse;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Sanierung und betriebliche Optimierung;Freihändig;BKP 222;Spenglerarbeiten;2021-06-28;"Gablers Söhne AG
Sanitär + Spenglerei
St.Georgen-Strasse 49
9000 St.Gallen";129643.5;
Kirchlistrasse, Instandstellung Sonnenhaldenstrasse bis Sandrainstrasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Kirchlistrasse, Sonnenhaldenstrasse bis Sandrainstrasse;Offen;Strasseninstandstellung;Instandstellungsarbeiten;2021-06-29;"Morant AG
St.Gallen";947133.5;
Fernwärmeleitung Los 121, Martinsbruggstrasse;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Fernwärmeleitung, Los 121;Einladung;Rohrbauarbeiten;;2021-08-17;"Sihro Tech AG
Sirnach";347742.35;
"ARA Au 2025; Planung Energieversorgung";DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;ARA Au;Einladung;Planung Energieversorgung;;2021-08-17;"IBG Engineering AG
St.Gallen";246937.5;
Primarschule Hebel-Bach, Neubau Tagesbetreuung an der Gotthelfstrasse;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Primarschule Hebel;Offen;221.1;Fenster aus Holz - Metall;2021-08-17;"Fenster Keller AG
Bütschwil";367680.85;
"Abfalllogistik; Sammlung und Abnahme von Altpapier und -karton";DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;Sammlung und Abnahme von Altpapier und -karton;Offen;;;2021-09-28;"Schnider AG
Engelburg";230700.0;
Wohnhaus Singenbergstrasse 3, Sanierung mit Anpassung und Nutzung durch die Wohngemeinschaft Arche der Stiftung Suchthilfe;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Wohnhaus Singenbergstrasse 3;Einladung;211;Baumeisterarbeiten;2021-11-09;"A. Müller AG
St.Gallen";319508.45;
Wohnhaus Singenbergstrasse 3, Sanierung und Anpassung durch die Wohngemeinschaft Arche der Stiftung Suchthilfe;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Wohnhaus Singenbergstrasse 3;Einladung;250;Sanitärinstallationen;2021-11-09;"Kreis Wasser AG
St.Gallen";182243.7;
"KHK; Erneuerung Rauchgasreinigung";DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK Rauchgasreinigung;Offen;Baumeister;;2021-11-23;"Stutz AG
St.Gallen";1088858.45;
