T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2006;54.3 Anz.
2007;42.0 Anz.
2008;22.8 Anz.
2009;15.2 Anz.
2010;4.1 Anz.
2011;3.4 Anz.
2012;11.0 Anz.
2013;21.6 Anz.
2014;7.9 Anz.
2015;-4.5 Anz.
2016;-13.0 Anz.
2017;-18.3 Anz.
2018;-28.1 Anz.
2019;-12.6 Anz.
2020;-10.0 Anz.
2021;3.6 Anz.
