T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2006;566269431.0 Anz.
2007;571170549.0 Anz.
2008;578692233.0 Anz.
2009;587045661.0 Anz.
2010;583522295.0 Anz.
2011;615332711.0 Anz.
2012;635188439.0 Anz.
2013;642901442.0 Anz.
2014;639670255.0 Anz.
2015;643647765.0 Anz.
2016;662011534.0 Anz.
2017;671297402.0 Anz.
2018;663321776.0 Anz.
2019;715142560.0 Anz.
2020;695785611.0 Anz.
2021;686101218.0 Anz.
