T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;3598522.0 Anz.
2014;4921070.0 Anz.
2015;4676058.0 Anz.
2016;4006332.0 Anz.
2017;4097751.0 Anz.
2018;3828021.0 Anz.
2019;3838885.0 Anz.
2020;4117738.0 Anz.
2021;5028880.0 Anz.
