T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;90760198.0 Anz.
2014;86907523.0 Anz.
2015;95378159.0 Anz.
2016;89188381.0 Anz.
2017;93095187.0 Anz.
2018;90390920.0 Anz.
2019;90705737.0 Anz.
2020;90099429.0 Anz.
2021;93341622.0 Anz.
