T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2006;-2.5 Anz.
2007;-2.5 Anz.
2008;-3.3 Anz.
2009;-3.5 Anz.
2010;-3.5 Anz.
2011;-4.5 Anz.
2012;-3.2 Anz.
2013;-3.8 Anz.
2014;-4.3 Anz.
2015;-3.0 Anz.
2016;-3.2 Anz.
2017;-2.7 Anz.
2018;-3.4 Anz.
2019;-3.1 Anz.
2020;-6.2 Anz.
2021;-4.6 Anz.
