T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;75681196.0 Anz.
2014;83262417.0 Anz.
2015;93272488.0 Anz.
2016;89425519.0 Anz.
2017;91467157.0 Anz.
2018;98011968.0 Anz.
2019;98413746.0 Anz.
2020;103346452.0 Anz.
2021;97343714.0 Anz.
