T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;11947259.0 Anz.
2014;25053118.0 Anz.
2015;11834356.0 Anz.
2016;25274087.0 Anz.
2017;10641991.0 Anz.
2018;7879111.0 Anz.
2019;10532046.0 Anz.
2020;6218696.0 Anz.
2021;6802686.0 Anz.
