T_Y;TAG_Kanton St.Gallen Wohnbevölkerung [Pers.]
2012;26194.0 Pers.
2013;26427.0 Pers.
2014;26812.0 Pers.
2015;26784.0 Pers.
2016;27180.0 Pers.
2017;27157.0 Pers.
2018;27366.0 Pers.
2019;27397.0 Pers.
2020;27422.0 Pers.
2021;27525.0 Pers.
2012;3911.0 Pers.
2013;3939.0 Pers.
2014;4044.0 Pers.
2015;4032.0 Pers.
2016;4043.0 Pers.
2017;4009.0 Pers.
2018;4134.0 Pers.
2019;4090.0 Pers.
2020;4012.0 Pers.
2021;3994.0 Pers.
