T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2006;6.7 Anz.
2007;6.9 Anz.
2008;6.0 Anz.
2009;5.4 Anz.
2010;4.4 Anz.
2011;4.1 Anz.
2012;5.9 Anz.
2013;3.4 Anz.
2014;2.2 Anz.
2015;3.5 Anz.
2016;3.3 Anz.
2017;4.1 Anz.
2018;4.5 Anz.
2019;7.4 Anz.
2020;0.4 Anz.
2021;2.6 Anz.
