T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2006;152.0 Anz.
2007;128.9 Anz.
2008;129.1 Anz.
2009;129.2 Anz.
2010;138.5 Anz.
2011;172.2 Anz.
2012;167.1 Anz.
2013;183.9 Anz.
2014;176.2 Anz.
2015;170.7 Anz.
2016;171.8 Anz.
2017;177.0 Anz.
2018;180.0 Anz.
2019;187.3 Anz.
2020;198.2 Anz.
2021;192.5 Anz.
