T_Y;TAG_Kanton St.Gallen Steuerfuss [Anz.]
2013;768340.0 Anz.
2014;612846.0 Anz.
2015;604406.0 Anz.
2016;598797.0 Anz.
2017;565958.0 Anz.
2018;640136.0 Anz.
2019;651138.0 Anz.
2020;505023.0 Anz.
2021;136584.0 Anz.
