T_h;Bad_ID;Name;TAG_Besucherstand_Bäder_dSSG;TAG_Max._Kapazität_der_Bäder_während_Corona;Bemerkung Max. Kapazitäten
2020-06-25T12:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;76;1200;
2020-06-25T12:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;93;1200;
2020-06-25T13:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;104;1200;
2020-06-26T16:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;27;1200;
2020-06-27T09:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;0;1200;
2020-06-27T11:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;2;1200;
2020-06-27T13:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;20;1200;
2020-06-27T13:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;27;1200;
2020-06-27T14:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;67;1200;
2020-06-27T15:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;93;1200;
2020-06-27T16:45:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;107;1200;
2020-06-28T09:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;15;1200;
2020-06-28T09:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;38;1200;
2020-06-28T10:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;32;1200;
2020-06-28T10:45:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;31;1200;
2020-06-28T12:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;30;1200;
2020-06-28T14:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;33;1200;
2020-06-28T16:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;22;1200;
2020-06-08T08:15:00+02:00;c5ed762037214d;Freibad Rotmonten;17;1780;Eislaufen im Winter für max. 180 Personen
2020-06-08T10:45:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-08T11:30:00+02:00;c5ed762037214d;Freibad Rotmonten;8;1780;Eislaufen im Winter für max. 180 Personen
2020-06-08T12:00:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-08T12:15:00+02:00;c5ed762037214d;Freibad Rotmonten;4;1780;Eislaufen im Winter für max. 180 Personen
2020-06-08T15:45:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-06-08T16:00:00+02:00;c5ed762037214d;Freibad Rotmonten;2;1780;Eislaufen im Winter für max. 180 Personen
2020-06-08T17:30:00+02:00;c5ed762037214d;Freibad Rotmonten;4;1780;Eislaufen im Winter für max. 180 Personen
2020-06-08T18:15:00+02:00;c5ed762037214d;Freibad Rotmonten;4;1780;Eislaufen im Winter für max. 180 Personen
2020-06-08T19:15:00+02:00;c5ed762037214d;Freibad Rotmonten;0;1780;Eislaufen im Winter für max. 180 Personen
2020-06-09T09:00:00+02:00;c5ed762037214d;Freibad Rotmonten;21;1780;Eislaufen im Winter für max. 180 Personen
2020-06-09T09:45:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-06-09T10:00:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
2020-06-09T11:00:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-09T16:30:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-09T17:45:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-09T18:30:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-09T18:45:00+02:00;c5ed762037214d;Freibad Rotmonten;4;1780;Eislaufen im Winter für max. 180 Personen
2020-06-10T07:45:00+02:00;c5ed762037214d;Freibad Rotmonten;7;1780;Eislaufen im Winter für max. 180 Personen
2020-06-10T08:15:00+02:00;c5ed762037214d;Freibad Rotmonten;11;1780;Eislaufen im Winter für max. 180 Personen
2020-06-10T09:15:00+02:00;c5ed762037214d;Freibad Rotmonten;12;1780;Eislaufen im Winter für max. 180 Personen
2020-06-10T10:30:00+02:00;c5ed762037214d;Freibad Rotmonten;2;1780;Eislaufen im Winter für max. 180 Personen
2020-06-10T13:15:00+02:00;c5ed762037214d;Freibad Rotmonten;1;1780;Eislaufen im Winter für max. 180 Personen
